"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AJ1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","IA1","KA1","MA1","MD1","MW1","REM","EQD"
"31285099999","2024-01-01T00:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","110,1,N,0020,1","99999,9,9,N","020000,1,9,9","-0233,1","-0245,1","10203,1",,,,"7,1,02,1","1,1,02,1",,,"03,1,+99999,9,05,1","99,9,+99999,9,01,1",,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,99999,9,99,9,99,9",,,"99999,9,10117,1","7,1,010,1,+999,9","71,1","SYN06031285 41998 81102 11233 21245 30117 40203 57010 77171 83029=",
"31285099999","2024-01-01T03:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","050000,1,9,9","-0179,1","-0198,1","10178,1",,,,"7,1,02,1","2,1,02,1",,,"02,1,+99999,9,04,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,99999,9,99,9,99,9",,,"99999,9,10093,1","7,1,024,1,+999,9","70,1","SYN06031285 41999 82301 11179 21198 30093 40178 57024 77072 82018=",
"31285099999","2024-01-01T06:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","020000,1,9,9","-0172,1","-0184,1","10163,1",,,,"7,1,02,1","2,1,02,1",,,"06,1,+99999,9,04,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,99999,9,99,9,99,9",,,"99999,9,10080,1","7,1,013,1,+999,9","71,1","SYN06031285 41998 82301 11172 21184 30080 40163 57013 77172 86018=",
"31285099999","2024-01-01T09:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","020000,1,9,9","-0185,1","-0197,1","10147,1","12,0005,3,1",,,"7,1,02,1","2,1,02,1",,,"06,1,+99999,9,05,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,99999,9,99,9,99,9",,"240,M,-0166,1","99999,9,10062,1","7,1,018,1,+999,9","71,1","SYN07631285 11998 82301 11185 21197 30062 40147 57018 69952 77172 86027 333 11166=",
"31285099999","2024-01-01T12:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","020000,1,9,9","-0201,1","-0207,1","10148,1",,,,"7,1,02,1","2,1,02,1",,,"06,1,+99999,9,05,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,99999,9,99,9,99,9",,,"99999,9,10063,1","3,1,001,1,+999,9","71,1","SYN06031285 41998 80000 11201 21207 30063 40148 53001 77172 86027=",
"31285099999","2024-01-01T15:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","020000,1,9,9","-0193,1","-0199,1","10143,1",,,,"7,1,02,1","2,1,02,1",,,"06,1,+99999,9,05,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,99999,9,99,9,99,9",,,"99999,9,10058,1","8,1,005,1,+999,9","71,1","SYN06031285 41998 82301 11193 21199 30058 40143 58005 77172 86027=",
"31285099999","2024-01-01T18:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,9","020000,1,9,9","-0209,1","-0215,1","10141,1",,,,"7,1,99,9","2,1,99,9",,,"02,1,+03000,1,05,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,03000,1,99,9,99,9",,,"99999,9,10056,1","7,1,002,1,+999,9","71,1","SYN004BUFR",
"31285099999","2024-01-01T21:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","020000,1,9,9","-0212,1","-0218,1","10140,1","12,0008,3,1",,"0039,3,1,003900,9,9","7,1,02,1","2,1,02,1",,,"02,1,+99999,9,05,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,99999,9,99,9,99,9","23,9","240,N,-0217,1","99999,9,10055,1","7,1,001,1,+999,9","71,1","SYN08231285 11998 80000 11212 21218 30055 40140 57001 69982 77172 82028 333 21217 47039=",
"31285099999","2024-01-02T00:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","230,1,N,0020,1","99999,9,9,N","050000,1,9,9","-0208,1","-0214,1","10168,1",,,,"7,1,02,1","2,1,02,1",,,"02,1,+99999,9,05,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,99999,9,99,9,99,9",,,"99999,9,10083,1","3,1,028,1,+999,9","71,1","SYN06031285 41999 82302 11208 21214 30083 40168 53028 77172 82027=",
"31285099999","2024-01-02T03:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","230,1,N,0040,1","99999,9,9,N","050000,1,9,9","-0188,1","-0214,1","10169,1",,,,"7,1,02,1","2,1,02,1",,,"02,1,+99999,9,05,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,99999,9,99,9,99,9",,,"99999,9,10084,1","2,1,001,1,+999,9","02,1","SYN06031285 41999 82304 11188 21214 30084 40169 52001 70272 82027=",
"31285099999","2024-01-02T06:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","200,1,N,0040,1","99999,9,9,N","050000,1,9,9","-0187,1","-0213,1","10167,1",,,,"7,1,02,1","2,1,02,1",,,"02,1,+99999,9,05,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,99999,9,99,9,99,9",,,"99999,9,10082,1","8,1,002,1,+999,9","02,1","SYN06031285 41999 82004 11187 21213 30082 40167 58002 70272 82027=",
"31285099999","2024-01-02T09:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","200,1,N,0020,1","99999,9,9,N","050000,1,9,9","-0209,1","-0234,1","10173,1","12,0000,2,1",,,,,,,"02,1,+99999,9,05,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,99999,9,99,9,99,9",,"240,M,-0185,1","99999,9,10088,1","3,1,006,1,+999,9",,"SYN07031285 12999 82002 11209 21234 30088 40173 53006 69902 82027 333 11185=",
"31285099999","2024-01-02T12:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","200,1,N,0020,1","99999,9,9,N","050000,1,9,9","-0244,1","-0256,1","10179,1",,,,,,,,"02,1,+99999,9,05,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,99999,9,99,9,99,9",,,"99999,9,10093,1","2,1,005,1,+999,9",,"SYN05431285 42999 82002 11244 21256 30093 40179 52005 82027=",
"31285099999","2024-01-02T15:00:00","4","54.5","134.4166666","62.0","UDSKOE, RS","FM-12","99999","V020","200,1,N,0020,1","99999,9,9,N","050000,1,9,9","-0236,1","-0249,1","10180,1",,,,,,,,"02,1,+99999,9,05,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,99999,9,99,9,99,9",,,"99999,9,10094,1","2,1,001,1,+999,9",,"SYN05431285 42999 82002 11236 21249 30094 40180 52001 82027=",
