"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AU1","AU2","AW1","AW2","AX1","AX2","GA1","GA2","GA3","GD1","GD2","GD3","GE1","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MW1","OC1","OD1","OE1","OE2","OE3","REM","EQD"
"72484653123","2024-01-01T00:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0133,5","+0017,5","10209,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10193,5,09407,5",,,,,,,,,,,"MET09512/31/23 16:53:03 METAR KVGT 010053Z 00000KT 10SM CLR 13/02 A3010 RMK AO2 SLP209 T01330017 (HE)",
"72484653123","2024-01-01T01:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","040,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0133,5","+0011,5","10215,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10196,5,09410,5",,,,,,,,,,,"MET09512/31/23 17:53:03 METAR KVGT 010153Z 04003KT 10SM CLR 13/01 A3011 RMK AO2 SLP215 T01330011 (CM)",
"72484653123","2024-01-01T02:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","010,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0122,5","+0017,5","10215,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10196,5,09410,5","0,9,006,9,+999,9",,,,,,,,,,"MET10112/31/23 18:53:03 METAR KVGT 010253Z 01003KT 10SM CLR 12/02 A3011 RMK AO2 SLP215 T01220017 50006 (OJ)",
"72484653123","2024-01-01T03:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","280,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0117,5","+0017,5","10217,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10200,5,09413,5",,,,,,,,,,,"MET09512/31/23 19:53:03 METAR KVGT 010353Z 28003KT 10SM CLR 12/02 A3012 RMK AO2 SLP217 T01170017 (CM)",
"72484653123","2024-01-01T04:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","020,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0117,5","+0017,5","10217,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+03658,5,99,9",,,"1,99,1,+03658,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,03658,1,99,9,99,9",,,,,,,,,,,"10200,5,09413,5",,,,,,,,,,,"MET09312/31/23 20:53:03 METAR KVGT 010453Z 02003KT 10SM FEW120 12/02 A3012 RMK AO2 SLP217 T01170017","D01      0ADE726"
"72484653123","2024-01-01T05:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","020,5,N,0015,5","22000,5,9,N","014484,5,N,5","+0111,5","+0017,5","10218,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","060,M,+0139,1","060,N,+0106,1",,,,,,,,,"10200,5,09413,5","1,9,005,9,+999,9",,,,,,,,,,"MET10712/31/23 21:53:03 METAR KVGT 010553Z 02003KT 9SM CLR 11/02 A3012 RMK AO2 SLP218 T01110017 10139 20106 51005",
"72484653123","2024-01-01T06:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0106,5","+0022,5","10217,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10203,5,09417,5",,,,,,,,,,,"MET09012/31/23 22:53:03 METAR KVGT 010653Z 00000KT 10SM CLR 11/02 A3013 RMK AO2 SLP217 T01060022",
"72484653123","2024-01-01T07:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","290,5,N,0015,5","22000,5,9,N","012875,5,N,5","+0100,5","+0022,5","10217,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+02134,5,99,9",,,"2,99,1,+02134,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,02134,1,99,9,99,9","240,M,+0144,1","240,N,+0061,1",,,,,,,,,"10203,5,09417,5",,,,,,,,,,,"MET10212/31/23 23:53:03 METAR KVGT 010753Z 29003KT 8SM SCT070 10/02 A3013 RMK AO2 SLP217 T01000022 401440061","D01      0ADE726"
"72484653123","2024-01-01T07:59:00","6","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","SOD  ","KVGT ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,M,+0144,5","240,N,+0061,5",,,,,,,,,,,"09406,4,10169,4",,,,,,"1,24,01073,300,9999,5","2,24,00894,310,9999,5","3,24,00215,999,9999,5","SOD69224 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 5824 HR MIN TEMP (F): 43AVERAGE STATION PRESSURE:27.775 MINIMUM SEA LEVEL PRESSURE:30.03 TIME OF OCCURRENCE:0057 PEAK WIND SPEED (MPH): 24 PEAK WIND DIR (DEG):300 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 20FASTEST 2MIN DIR (DEG):310 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 4.8 24 HR AVG TEMP (F): 51DEPART FROM NORMAL:  4  HEATING DEGREE DAYS: 14 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):58  LATEST NIGHT MIN TEMP(1900-0800 LST):43 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00",
"72484653123","2024-01-01T07:59:00","6","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","SOM  ","KVGT ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,"00046,9,6","00046,9,2222,9999,9999,5","01,5,01,5,00,5,00,5","005,0005,9,221602,5","010,0008,9,221602,5","015,0010,9,221602,5","020,0015,9,221602,5","030,0018,9,221609,5","045,0020,9,221609,5","060,0023,9,221635,5","080,0023,9,221635,5","100,0023,9,221635,5","120,0028,9,221609,5","150,0030,9,221635,5","180,0030,9,221635,5",,,,,,,,,,,,,,,,,,,"744,N,+0583,5","744,M,+1700,5","744,A,+1144,5","N,9,+0022,259999,5","M,9,+0216,059999,5","744,H,0378,5","744,C,0000,5","00,5,00,5,00,5,00,5",,,,"09412,4,10213,4","10349,091017,5,10112,070048,5",,,,,,,"SOM792PCP MTOT:0.18 PCP GT 24HRS:0.18 DATE(S):22 DAYS W/PCP >=.01:1  DAYS W/PCP >=.10:1  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.02  22/1602 MIN:10 0.03  22/1602 MIN:15 0.04  22/1602 MIN:20 0.06  22/1602 MIN:30 0.07  22/1609 MIN:45 0.08  22/1609 MIN:60 0.09  22/1635 MIN:80 0.09  22/1635 MIN:100 0.09  22/1635 MIN:120 0.11  22/1609 MIN:150 0.12  22/1635 MIN:180 0.12  22/1635 AVG DLY MIN:42.5  AVG DLY MAX:62.6  AVG MLY TMP:52.6  MIN TMP:36 DATE(S):25 MAX TMP:71  DATE(S):05 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:27.795 LWST SLP:29.86 DATE/TIME:070048 HGST SLP:30.56 DATE/TIME:091017 HDD MTH TOT:378 DEP NORM:-2553 SEASON(JUL 1-JUN 30):602 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):3763 DEP NORM:-25536","R01  0.187ABP070"
